Date,Price_DayAhead,Load_Forecast,Solar,Wind_Offshore,Wind_Onshore
2018-10-04 00:00:00+02:00,53.24,,0.0,2326.72,9462.81
2018-10-04 01:00:00+02:00,46.1,,0.0,2384.74,9069.09
2018-10-04 02:00:00+02:00,45.6,,0.0,2472.35,8848.4
2018-10-04 03:00:00+02:00,46.88,,0.0,2607.95,8486.46
2018-10-04 04:00:00+02:00,47.53,,0.0,2825.47,8243.17
2018-10-04 05:00:00+02:00,50.88,,0.0,2807.45,8231.44
2018-10-04 06:00:00+02:00,74.69,,0.0,2671.68,8411.44
2018-10-04 07:00:00+02:00,80.15,,13.14,2518.22,8392.25
2018-10-04 08:00:00+02:00,81.0,,1503.53,2267.26,8189.51
2018-10-04 09:00:00+02:00,82.09,,5569.9,2093.97,7297.69
2018-10-04 10:00:00+02:00,78.96,,10062.43,1914.47,6393.67
2018-10-04 11:00:00+02:00,75.34,,13724.3,1870.1,5992.57
2018-10-04 12:00:00+02:00,63.05,,16075.15,2059.62,6037.04
2018-10-04 13:00:00+02:00,54.49,,16807.17,2330.21,6182.3
2018-10-04 14:00:00+02:00,54.4,,15964.74,2600.02,6330.14
2018-10-04 15:00:00+02:00,57.61,,13724.75,2796.46,6148.28
2018-10-04 16:00:00+02:00,66.96,,10155.87,3076.07,5764.3
2018-10-04 17:00:00+02:00,77.23,,5578.97,3310.1,5325.61
2018-10-04 18:00:00+02:00,80.25,,1261.79,3391.89,5167.28
2018-10-04 19:00:00+02:00,88.08,,1.91,3416.46,5349.0
2018-10-04 20:00:00+02:00,80.67,,0.0,3405.77,5734.56
2018-10-04 21:00:00+02:00,72.22,,0.0,3465.02,6350.38
2018-10-04 22:00:00+02:00,53.98,,0.0,3533.58,6825.53
2018-10-04 23:00:00+02:00,52.25,,0.0,3601.28,7216.79
2018-10-05 00:00:00+02:00,49.57,,0.0,4035.38,8896.95
2018-10-05 01:00:00+02:00,51.16,,0.0,4083.17,9290.32
2018-10-05 02:00:00+02:00,48.91,,0.0,4071.33,9566.63
2018-10-05 03:00:00+02:00,47.36,,0.0,3963.2,9561.58
2018-10-05 04:00:00+02:00,48.28,,0.0,3806.89,9421.32
2018-10-05 05:00:00+02:00,54.18,,0.0,3625.49,9254.48
2018-10-05 06:00:00+02:00,63.62,,0.0,3389.09,9031.25
2018-10-05 07:00:00+02:00,78.87,,18.84,3236.48,8801.8
2018-10-05 08:00:00+02:00,79.74,,1945.82,3113.86,8284.87
2018-10-05 09:00:00+02:00,74.5,,7811.55,3081.76,7045.07
2018-10-05 10:00:00+02:00,55.42,,14302.28,3141.83,4824.23
2018-10-05 11:00:00+02:00,50.21,,19344.64,3123.96,3585.17
2018-10-05 12:00:00+02:00,46.64,,22219.35,3025.51,3492.91
2018-10-05 13:00:00+02:00,50.72,,23055.23,2794.78,3456.68
2018-10-05 14:00:00+02:00,48.24,,21924.1,2532.43,3313.35
2018-10-05 15:00:00+02:00,48.55,,18994.46,2166.68,3116.67
2018-10-05 16:00:00+02:00,54.98,,14121.83,1807.97,2901.32
2018-10-05 17:00:00+02:00,74.99,,7649.42,1483.04,2821.13
